Date,Open,High,Low,Close,Adj Close,Volume
2022-08-08,78.785004,79.397499,78.742508,79.014999,79.014999,190240
2022-08-09,78.660004,78.702499,78.040001,78.269997,78.269997,82575
2022-08-10,78.107498,79.849998,78.000000,79.720001,79.720001,85444
2022-08-11,80.137497,80.757507,79.900002,80.264999,80.264999,159920
2022-08-12,80.029999,80.557503,79.980003,80.497498,80.497498,414405
2022-08-15,80.957497,81.199997,80.565002,81.112503,81.112503,267362
2022-08-16,81.317497,81.629997,81.150002,81.629997,81.629997,74631
2022-08-17,81.647499,81.682510,80.867508,80.925003,80.925003,1586257
2022-08-18,80.827499,81.397499,80.782501,81.257500,81.257500,44859
2022-08-19,80.855003,80.970001,80.182503,80.262497,80.262497,92767
2022-08-22,79.775002,79.870003,78.775002,78.962502,78.962502,42482
2022-08-23,78.269997,78.977509,78.232498,78.540001,78.540001,83056
2022-08-24,78.202499,78.802498,78.044998,78.769997,78.769997,162255
2022-08-25,79.345001,79.449997,78.720001,79.019997,79.019997,67409
2022-08-26,79.602501,80.004997,77.970001,78.135002,78.135002,113140
2022-08-30,76.737503,77.332497,75.334999,75.907501,75.907501,465866
2022-08-31,76.117500,76.385002,75.449997,75.602501,75.602501,117717
2022-09-01,74.662498,74.952499,74.112503,74.470001,74.470001,193785
2022-09-02,75.410004,76.327499,75.190002,76.169998,76.169998,67027
2022-09-05,74.792503,74.894997,74.430000,74.712502,74.712502,84001
2022-09-06,74.915001,75.252502,73.800003,74.722504,74.722504,155650
2022-09-07,74.167503,74.937500,73.992508,74.845001,74.845001,61948
2022-09-08,75.724998,76.169998,74.900002,76.095001,76.095001,72988
2022-09-09,76.290001,77.205002,76.290001,77.067497,77.067497,73160
2022-09-12,77.559998,78.230011,77.482498,78.105003,78.105003,114650
2022-09-13,78.382500,78.900002,75.584999,75.695000,75.695000,141034
2022-09-14,74.934998,75.260010,74.477501,74.937500,74.937500,89073
2022-09-15,74.750000,74.972504,73.977509,74.260002,74.260002,141392
2022-09-16,73.279999,73.410004,72.695007,72.964996,72.964996,66696
2022-09-20,73.989998,74.257507,72.769997,73.121246,73.121246,64434
2022-09-21,72.567497,73.544998,72.567497,73.389999,73.389999,52960
2022-09-22,71.294998,72.294998,71.000000,71.224998,71.224998,46715
2022-09-23,70.937500,71.122498,69.842499,69.917503,69.917503,170298
2022-09-26,69.404999,70.407501,69.324997,69.602501,69.602501,85665
2022-09-27,69.882500,70.397499,69.362503,69.510002,69.510002,80108
2022-09-28,68.837502,70.010010,68.205002,69.790001,69.790001,290167
2022-09-29,70.052498,70.082497,68.507500,69.032501,69.032501,145719
2022-09-30,69.277496,69.750000,68.485001,69.440002,69.440002,95006
2022-10-03,68.077499,69.452499,67.725014,69.342499,69.342499,186292
2022-10-04,70.459999,71.745003,70.370010,71.672501,71.672501,106851
2022-10-05,71.419998,71.607498,70.500000,70.830002,70.830002,691593
2022-10-06,71.675003,71.947502,70.997498,71.502502,71.502502,223568
2022-10-07,70.620003,71.110001,69.364998,69.459999,69.459999,460531
2022-10-10,68.610001,69.275002,68.330002,68.519997,68.519997,299507
2022-10-11,67.900002,68.535004,67.610001,68.407501,68.407501,181986
2022-10-12,68.477501,68.620010,67.750000,68.097504,68.097504,334248
2022-10-13,67.782501,70.699997,66.199997,68.622498,68.622498,167233
2022-10-14,69.962502,70.425003,68.500000,68.620003,68.620003,105632
2022-10-17,68.514999,69.930008,68.404999,69.654999,69.654999,89900
2022-10-18,70.809998,71.332497,69.997498,70.062500,70.062500,158362
2022-10-19,70.667503,70.900002,69.967499,70.175003,70.175003,106677
2022-10-20,69.930000,70.820000,69.599998,70.386253,70.386253,54526
2022-10-21,69.332497,70.457497,68.889999,69.898750,69.898750,43629
2022-10-24,71.267502,71.912498,70.677498,71.598747,71.598747,63149
2022-10-25,72.092499,72.885002,71.644997,72.885002,72.885002,43068
2022-10-26,72.510002,73.602509,72.447502,73.587502,73.587502,88466
2022-10-27,72.790001,73.190002,72.375000,72.717499,72.717499,183287
2022-10-28,71.589996,73.387497,71.430000,73.192497,73.192497,115728
2022-10-31,73.849998,73.849998,73.260002,73.410004,73.410004,103738
2022-11-01,73.862503,74.279999,72.860001,73.093750,73.093750,142850
2022-11-02,73.182503,73.392502,72.567497,72.567497,72.567497,41396
2022-11-03,71.260002,71.572510,70.150002,70.857498,70.857498,64807
2022-11-04,70.677498,71.952499,70.349998,70.832497,70.832497,64029
2022-11-07,71.172501,72.012497,71.127502,71.803749,71.803749,106913
2022-11-08,72.082497,73.105003,71.972504,73.105003,73.105003,217575
2022-11-09,72.607498,72.775002,71.760002,71.967499,71.967499,94614
2022-11-10,71.139999,74.367500,71.000000,74.367500,74.367500,154489
